epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1453.54,1.9771,4.3426,1.41866,0.00126,0.02738,0.00177,0.00055,1.52082,4.17467,1.13282,0.00013,0.00013,0.00013
2,2869.52,1.5379,2.76465,1.07464,0.00475,0.06782,0.01758,0.00579,1.51633,4.48332,1.31793,0.000264654,0.000264654,0.000264654
3,4223.8,1.37743,1.89311,1.05133,0.01258,0.25073,0.0979,0.05373,1.36204,3.98852,1.16396,0.000393764,0.000393764,0.000393764
4,5464.17,1.32181,1.60208,1.06004,0.0153,0.4042,0.16966,0.09541,1.36381,3.6106,1.10604,0.00051733,0.00051733,0.00051733
5,6877.58,1.26906,1.45015,1.05038,0.02306,0.54421,0.31255,0.17547,1.30674,3.26794,1.03921,0.000635352,0.000635352,0.000635352
6,8155.44,1.2491,1.31044,1.03451,0.97362,0.10573,0.48901,0.29084,1.36059,2.69446,1.09691,0.00074783,0.00074783,0.00074783
7,9390.82,1.21828,1.23681,1.02591,0.77688,0.15688,0.48516,0.29157,1.2874,2.71704,1.06757,0.000854764,0.000854764,0.000854764
8,10612.5,1.22433,1.15601,1.02422,0.73602,0.44002,0.61441,0.36784,1.26611,2.17731,1.07462,0.0008614,0.0008614,0.0008614
9,11825.7,1.21388,1.09228,1.01633,0.68756,0.58492,0.65201,0.41593,1.23107,1.54159,1.06179,0.0008416,0.0008416,0.0008416
10,13080.7,1.20361,1.05131,1.01846,0.65839,0.61087,0.65645,0.42677,1.23069,1.63902,1.05798,0.0008218,0.0008218,0.0008218
11,14421.3,1.1926,1.03959,1.01192,0.64049,0.56606,0.64711,0.40679,1.26647,1.24626,1.08498,0.000802,0.000802,0.000802
12,15922.4,1.19138,1.02002,1.00935,0.62804,0.59887,0.64215,0.42897,1.20329,1.25599,1.03677,0.0007822,0.0007822,0.0007822
13,17192.3,1.17202,0.97759,0.99635,0.7069,0.66571,0.70151,0.42941,1.25938,1.0546,1.06003,0.0007624,0.0007624,0.0007624
14,18446.6,1.16648,0.96076,1.00294,0.66065,0.64025,0.66287,0.40368,1.30201,1.14066,1.10605,0.0007426,0.0007426,0.0007426
15,19689.3,1.14362,0.91883,0.9944,0.65707,0.67396,0.68848,0.43174,1.21256,1.01398,1.05503,0.0007228,0.0007228,0.0007228
16,20882.1,1.13057,0.902,0.98299,0.70608,0.66182,0.68898,0.43735,1.20193,0.98856,1.04802,0.000703,0.000703,0.000703
17,22235.2,1.1268,0.89439,0.98004,0.69121,0.6569,0.70148,0.45358,1.21935,1.08969,1.06955,0.0006832,0.0006832,0.0006832
18,23602.4,1.12379,0.8761,0.984,0.71272,0.62147,0.70013,0.44028,1.23592,0.98965,1.06813,0.0006634,0.0006634,0.0006634
19,28885,1.12662,0.87556,0.97805,0.63259,0.69981,0.68978,0.45512,1.17475,1.09292,1.05037,0.0006436,0.0006436,0.0006436
20,30715.9,1.125,0.84605,0.97898,0.66915,0.74765,0.73802,0.47135,1.20076,1.02471,1.07219,0.0006238,0.0006238,0.0006238
21,31933.7,1.09391,0.82077,0.97443,0.65648,0.65418,0.69195,0.44869,1.18208,0.92759,1.0596,0.000604,0.000604,0.000604
22,33320.6,1.09623,0.81029,0.97147,0.68119,0.72072,0.72243,0.46023,1.2055,0.88715,1.05939,0.0005842,0.0005842,0.0005842
23,34713.4,1.08538,0.78734,0.96609,0.71003,0.70002,0.71568,0.48221,1.17811,0.90257,1.0494,0.0005644,0.0005644,0.0005644
24,36089.4,1.09795,0.79804,0.97259,0.70933,0.69299,0.73958,0.47719,1.16469,0.90927,1.03918,0.0005446,0.0005446,0.0005446
25,37294.7,1.08584,0.77951,0.96601,0.71436,0.66367,0.73375,0.47609,1.19596,0.90286,1.05578,0.0005248,0.0005248,0.0005248
26,38570.4,1.06353,0.75781,0.96205,0.73378,0.69371,0.73493,0.485,1.16336,0.84578,1.04278,0.000505,0.000505,0.000505
27,39820.6,1.06125,0.74311,0.95968,0.73704,0.70391,0.73995,0.49562,1.16819,0.84756,1.04339,0.0004852,0.0004852,0.0004852
28,40991.2,1.05908,0.76095,0.95612,0.74178,0.67348,0.72564,0.484,1.16979,0.88595,1.05993,0.0004654,0.0004654,0.0004654
29,42136,1.05013,0.74684,0.95204,0.71092,0.7668,0.76531,0.50234,1.15019,0.83151,1.03961,0.0004456,0.0004456,0.0004456
30,43278.6,1.04871,0.7379,0.95371,0.68967,0.75082,0.7373,0.49404,1.17877,0.80091,1.04572,0.0004258,0.0004258,0.0004258
31,44417,1.04287,0.71629,0.95326,0.71687,0.73582,0.74268,0.49363,1.164,0.80968,1.04203,0.000406,0.000406,0.000406
32,45564.6,1.03993,0.71257,0.95509,0.73106,0.67698,0.72478,0.48564,1.17207,0.81043,1.04225,0.0003862,0.0003862,0.0003862
33,46911.4,1.02562,0.70096,0.94314,0.73779,0.7087,0.76935,0.51465,1.14251,0.79161,1.03208,0.0003664,0.0003664,0.0003664
34,48181.9,1.04901,0.68996,0.95072,0.67886,0.72574,0.74469,0.49405,1.16471,0.79691,1.03992,0.0003466,0.0003466,0.0003466
35,49337.3,1.03023,0.68078,0.945,0.68008,0.73349,0.74458,0.47909,1.23029,0.79741,1.0891,0.0003268,0.0003268,0.0003268
36,50489.5,1.02912,0.67794,0.94687,0.79655,0.69036,0.76908,0.50449,1.1535,0.79771,1.04116,0.000307,0.000307,0.000307
37,51647.7,1.03507,0.67311,0.95003,0.70249,0.71332,0.73603,0.4971,1.15251,0.78216,1.04539,0.0002872,0.0002872,0.0002872
38,52843.2,1.0243,0.66564,0.94563,0.73121,0.71174,0.73044,0.50156,1.15239,0.79523,1.03974,0.0002674,0.0002674,0.0002674
39,53957.9,1.01068,0.65835,0.94073,0.71457,0.72117,0.7196,0.48164,1.20727,0.80865,1.07059,0.0002476,0.0002476,0.0002476
40,55094.7,0.99873,0.64475,0.94119,0.76845,0.6953,0.74478,0.50574,1.15675,0.77438,1.04216,0.0002278,0.0002278,0.0002278
41,56240.3,0.97559,0.6412,0.94297,0.76016,0.69046,0.72617,0.47756,1.18543,0.94055,1.0539,0.000208,0.000208,0.000208
