epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,572.739,1.65262,2.89746,1.21196,0.48928,0.30929,0.24555,0.14309,1.39953,2.09143,1.16219,0.000330864,0.000330864,0.000330864
2,1174.81,1.36207,1.72252,1.08652,0.74628,0.51165,0.53473,0.32226,1.26198,1.42661,1.09284,0.000651046,0.000651046,0.000651046
3,1815.61,1.32623,1.43972,1.07471,0.53049,0.48962,0.50502,0.29686,1.33715,1.54681,1.12977,0.000958029,0.000958029,0.000958029
4,2413.35,1.29042,1.32781,1.06775,0.63273,0.61847,0.65069,0.40747,1.24843,1.17425,1.09384,0.0009406,0.0009406,0.0009406
5,2984.55,1.26148,1.22834,1.05845,0.6026,0.63957,0.65653,0.4128,1.22575,1.15084,1.07046,0.0009208,0.0009208,0.0009208
6,3618.72,1.23885,1.17354,1.0406,0.65804,0.67979,0.69971,0.44872,1.19566,1.08028,1.06772,0.000901,0.000901,0.000901
7,4246.25,1.2232,1.12071,1.03509,0.69829,0.66783,0.69583,0.44363,1.20879,1.01321,1.07204,0.0008812,0.0008812,0.0008812
8,4884.11,1.21561,1.07928,1.02842,0.69706,0.66974,0.70992,0.45752,1.18846,1.01603,1.05319,0.0008614,0.0008614,0.0008614
9,5509.3,1.20535,1.0395,1.02315,0.65729,0.65519,0.69235,0.45751,1.21341,0.99028,1.07523,0.0008416,0.0008416,0.0008416
10,6141.49,1.19593,1.00915,1.01689,0.66684,0.71687,0.72096,0.45495,1.19192,0.98646,1.05592,0.0008218,0.0008218,0.0008218
11,6740.16,1.19091,0.99716,1.01951,0.70721,0.65959,0.74003,0.46598,1.22971,0.98868,1.07617,0.000802,0.000802,0.000802
12,7454.21,1.1673,0.96607,1.01249,0.64949,0.67897,0.70436,0.45846,1.21259,0.9154,1.07258,0.0007822,0.0007822,0.0007822
13,8086.11,1.16518,0.92337,1.00594,0.69465,0.66336,0.72522,0.4652,1.19692,0.9771,1.05407,0.0007624,0.0007624,0.0007624
14,8767.97,1.15348,0.97037,1.00811,0.7339,0.6603,0.72088,0.468,1.17804,1.05268,1.05321,0.0007426,0.0007426,0.0007426
15,9464.09,1.1266,0.9156,0.99707,0.77769,0.70481,0.75216,0.48667,1.16875,0.87434,1.04614,0.0007228,0.0007228,0.0007228
16,10121.9,1.1402,0.8824,0.99306,0.67738,0.76083,0.75055,0.49304,1.17595,0.88303,1.04736,0.000703,0.000703,0.000703
17,10747.1,1.1287,0.85999,0.98986,0.77003,0.70771,0.7508,0.49238,1.16636,0.83438,1.05467,0.0006832,0.0006832,0.0006832
18,11335.3,1.13484,0.86562,0.99733,0.77439,0.6828,0.76232,0.4872,1.18874,0.86953,1.05807,0.0006634,0.0006634,0.0006634
19,11943.6,1.11665,0.86031,0.98556,0.73133,0.70906,0.73961,0.48258,1.17775,0.85191,1.05807,0.0006436,0.0006436,0.0006436
20,12569.4,1.11212,0.85425,0.98233,0.69808,0.73639,0.76242,0.49245,1.16988,0.9177,1.0465,0.0006238,0.0006238,0.0006238
21,13200.8,1.10332,0.86424,0.98254,0.71484,0.76196,0.73156,0.48151,1.15985,0.98082,1.0533,0.000604,0.000604,0.000604
22,13838.9,1.11276,0.81423,0.98555,0.70227,0.78674,0.77774,0.50664,1.16853,0.79476,1.05214,0.0005842,0.0005842,0.0005842
23,14407.3,1.09056,0.80794,0.97911,0.74618,0.75967,0.77902,0.51398,1.15855,0.83473,1.04591,0.0005644,0.0005644,0.0005644
24,14977.1,1.11767,0.81222,0.99078,0.69864,0.75897,0.76204,0.49949,1.17819,0.81088,1.05534,0.0005446,0.0005446,0.0005446
25,15550.8,1.0837,0.78895,0.97411,0.79168,0.68752,0.76825,0.50751,1.16403,0.81383,1.04731,0.0005248,0.0005248,0.0005248
26,16123.9,1.09382,0.78029,0.98132,0.76161,0.72478,0.76236,0.50857,1.14734,0.81728,1.0405,0.000505,0.000505,0.000505
27,16696.3,1.06752,0.75541,0.96943,0.76708,0.72445,0.76586,0.50447,1.172,0.79978,1.05081,0.0004852,0.0004852,0.0004852
28,17269,1.06125,0.75825,0.96509,0.75346,0.72826,0.75506,0.49939,1.1591,0.7973,1.0442,0.0004654,0.0004654,0.0004654
29,17840.6,1.07101,0.74746,0.96513,0.73523,0.75734,0.77894,0.51368,1.16816,0.78604,1.05364,0.0004456,0.0004456,0.0004456
30,18411.6,1.06282,0.74237,0.96368,0.76477,0.75095,0.76435,0.49909,1.16954,0.84113,1.04792,0.0004258,0.0004258,0.0004258
31,19020.5,1.06283,0.73818,0.96482,0.77,0.73436,0.77455,0.50119,1.16822,0.77881,1.04936,0.000406,0.000406,0.000406
32,19664,1.04869,0.71265,0.9672,0.73041,0.78127,0.77854,0.5201,1.15899,0.75602,1.04915,0.0003862,0.0003862,0.0003862
